gauge_name,area
SEc,9880200.0
S,9796613.0
FIN1,8950000.0
SEa,8351450.0
EBV1,8247000.0
NL2,8106400.0
PTc,7980500.0
GEC16,7959800.0
GC,7671125.0
NL1,7632225.0
PTb+,7502600.0
PTb,7428600.0
BE3,7366600.0
DE3,7363380.0
DE2,7257020.0
EBV2,7252050.0
G2,7234625.0
BE2,7214260.0
GEB16,7194620.0
GEA16,7154775.0
GHE16,7139150.0
BE1,7093925.0
GB2,7048500.0
GB1,6966000.0
GB,6867000.0
DE1,6846337.5
FR-3.3,6776250.0
GA,6758550.0
G1,6678225.0
GEE10,6075125.0
GED10,5861500.0
W8,5278511.25
W6A,5239581.25
W7,5221721.25
W9,5206360.75
W12,5133625.0
W9A,4972125.0
W10A,4912387.5
W10,4912254.25
W8A,4790141.5
