our_tracks,possible_trains
S,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, S, PTb, PTb+, PTc, DE1, DE2, DE3, NL1, NL2, GHE16, GEA16, GEB16, GEC16, GEE10, GED10, FIN1, SEa, BE1, BE2, BE3, FR-3.3, EBV1, EBV2, G1, G2, GA, GB, GB1, GB2, GC]"
SEc,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, PTb, PTb+, PTc, DE1, DE2, DE3, NL1, NL2, GHE16, GEA16, GEB16, GEC16, GEE10, GED10, SEa, SEc, BE1, BE2, BE3, FR-3.3, EBV1, EBV2, G1, G2, GA, GB, GB1, GB2, GC]"
PTc,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, PTb, PTb+, PTc, DE1, DE2, DE3, GHE16, GEA16, GEB16, GEC16, GEE10, GED10, BE1, BE2, BE3, FR-3.3, EBV2, G1, G2, GA, GB, GB1, GB2, GC]"
GEC16,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, DE3, GHE16, GEA16, GEB16, GEC16, GEE10, GED10, BE1, BE2, BE3, FR-3.3, EBV2, G1, G2, GA, GB, GB1, GB2, GC]"
FIN1,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, DE3, NL1, GHE16, GEA16, GEB16, GEE10, GED10, FIN1, BE1, BE2, BE3, FR-3.3, EBV2, G1, G2, GA, GB, GB1, GB2]"
SEa,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, PTb, DE1, DE2, DE3, NL1, GHE16, GEA16, GEB16, GEE10, GED10, SEa, BE1, BE2, BE3, FR-3.3, EBV2, G1, G2, GA, GB]"
GC,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, DE3, GEE10, GED10, BE1, BE2, BE3, FR-3.3, EBV2, G1, G2, GA, GB, GB1, GB2, GC]"
NL2,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, DE3, NL1, NL2, GEE10, GED10, FR-3.3, EBV2, G1, G2, GA, GB, GB1, GB2]"
BE3,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, DE3, GEE10, GED10, BE1, BE2, BE3, FR-3.3, EBV2, G1, G2, GA, GB]"
PTb+,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, PTb, PTb+, GHE16, GEA16, GEB16, GEE10, GED10, FR-3.3, G1, GA, GB, GB1]"
DE3,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, DE3, GEE10, GED10, FR-3.3, EBV2, G1, G2, GA, GB]"
EBV1,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, PTb, GHE16, GEA16, GEB16, GEE10, GED10, FR-3.3, EBV1, G1, GA, GB]"
PTb,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, PTb, GHE16, GEA16, GEB16, GEE10, GED10, FR-3.3, G1, GA, GB]"
GEB16,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GHE16, GEA16, GEB16, GEE10, GED10, FR-3.3, G1, GA, GB]"
NL1,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, NL1, GEE10, GED10, FR-3.3, G1, G2, GA]"
EBV2,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, GEE10, GED10, FR-3.3, EBV2, G1, GA, GB]"
GB2,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GEE10, GED10, FR-3.3, G1, GA, GB, GB1, GB2]"
BE2,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GEE10, GED10, BE1, BE2, FR-3.3, G1, GA, GB]"
G2,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, GEE10, GED10, FR-3.3, G1, G2, GA]"
GEA16,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GHE16, GEA16, GEE10, GED10, FR-3.3, G1, GA]"
DE2,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, DE2, GEE10, GED10, FR-3.3, G1, GA]"
BE1,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GEE10, GED10, BE1, FR-3.3, G1, GA]"
GB1,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GEE10, GED10, G1, GA, GB, GB1]"
GB,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GEE10, GED10, G1, GA, GB]"
GHE16,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, GHE16, GEE10, GED10, G1]"
DE1,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, DE1, GEE10, GED10]"
GA,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, G1, GA]"
FR-3.3,"[W6A, W7, W8, W8A, W9, W9A, W10, W10A, W12, FR-3.3, G1]"
GEE10,"[W6A, W7, W8, W8A, W9, W9A, GEE10, GED10]"
G1,"[W6A, W7, W8, W8A, W9, W9A, G1]"
W12,"[W9A, W10, W10A, W12]"
GED10,"[W8A, GED10]"
W8,"[W6A, W8]"
W10A,"[W10, W10A]"
W10,[W10]
W6A,[W6A]
W8A,[W8A]
W7,[W7]
W9,[W9]
W9A,[W9A]
