Line of route,ELR
EA1030,FGW
EA1270,DOC
EA1310,BOK3
EA1310,BOK5
EA1330,NKE1
EA1370,TAH1
EA1370,TAH2
EA1380,FSS1
EA1390,TLL
EA1420,THN
EA1440,FEL
EA1540,SOB1
EA1744,BFC
GW108,MIN
GW174,WEL1
GW175,WEL2
GW178,BRB
GW184,WIN
GW220,RWC
GW225,RFR
GW310,OWW
GW440,BGL2
GW450,BSW
GW500,BHL
GW500,SWY
GW5001,SAL
GW628,SUT2
GW628,TUR
GW640,LIJ
GW640,LIL
GW650,LOF
GW733,SBA2
GW735,SYC
GW736,GNQ2
GW770,WVL
GW834,ABD
GW835,THT
GW871,FOR
GW874,BAL
GW892,VON
GW894,JER
GW900,FSH
GW915,GNT
GW930,CAN
GW980,ERB
MD140,BBM
MD145,CRC2
MD340,BJW3
MD370,DPJ
MD545,KJW
MD705,ANL
MD720,PRA
MD910,OWW
LN101,DUY
LN110,CFP
LN135,EMP
LN185,GRS3
LN3140,BBM
LN3210,JRT1
LN3273,PBS3
LN3520,SSJ1
LN618,HOS
LN624,REB4
LN627,LLP3
LN652,HAH1
LN678,DAE1
LN700,BWO2
LN702,BWC
LN756,SCD
LN758,BKS
LN762,YDS
LN768,PSE
LN776,HLF1
LN776,HLF2
LN804,TJC1
LN812,BLJ
LN814,TST
LN840,TJC3
LN854,TJC3
LN861,BBW
LN868,SHB
LN918,SPW
LN924,ILK2
LN926,GUE2
LN930,SKS2
NW1001,CGJ1
NW1001,CGJ2
NW1001,CGJ4
NW1001,LEC3
NW1009,BHI
NW2007,AEG
NW2009,SDJ2
NW3009,CVS
NW3021,FJH
NW3033,HEG
NW4003,PDB
NW4027,ETC
NW4033,CBC3
NW5008,NBS1
NW5011,HNS
NW5013,DJO2
NW6013,LCN
NW7001,MVM
NW7007,FCO
NW7009,FHR2
NW7021,MVL2
NW7027,PPP2
NW8001,HXS2
NW8007,NMB
NW8011,CWK2
NW9005,CNB2
NW9903,SKW1
SC007,EGS2
SC024,LRK
SC029,CLY
SC057,CNC
SC059,STR3
SC085,AYH1
SC089,KCH2
SC117,GMH
SC119,GHL
SC119,SCM3
SC141,WHL
SC155,MHL3
SC181,CDC1
SC189,CRE
SC191,ECN4
SC191,ECN5
SC193,RSW
SO110,TLP2
SO130,CBM
SO140,SBJ
SO160,FDM
SO180,PWS1
SO240,BME1
SO250,CKL
SO310,LEE
SO480,TRL3
SO500,CJA2
SO500,PPH
SO500,RED1
SO500,VTB1
SO500,VTB3
SO510,LBW
SO511,ELL1
SO520,TBH1
SO520,TBH2
SO620,KJE2
SO630,FJL
SO650,BJN1
SO660,TAT
SO680,WTH
SW115,LAV
SW140,SDP2
SW165,HAG
SW230,HOU
SW255,AJB
EA1360,NJN
SW110,PAS
SW220,WLL
GW425,SAW/SSS
W560,SWY
W570,WEY
W606,NDN
W611,EMT
W620,TOR
W637,DAC
GW830,SWM2
GW940,CAN/ CNW
SC147,ECN2
SC171,ECM9
SC171,EGM4
SC177,MTL2
NW6004,DSE
EA1010,LVS
EA1120,MAH
EA1170,HDT
EA1220,TEN
EA1290,TSE2
EA1310,SAR1
EA1370,GOJ
GW105,MLN1
GW107,WSM
GW180,HLL2
GW250,DWC
GW277,OXD
GW401,BGL1
GW600,SWB
GW606,NDN
GW620,TOR
GW628,FRY
GW628,SUT1
GW660,PAR
GW672,SDS
GW680,FAL1
GW784,NLL
GW830,CEJ
GW840,RAD
GW850,CLL
GW877,PTD
GW893,NAB
GW906,SWL
GW910,CWL1
GW910,VOT
GW950,PEM
MD130,WSA
MD180,RTS
MD232,NMA
MD310,BEA
