Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Eastern	1251	LN101	Kings Cross – Copenhagen Jn	Y	N	N	N	N	N	N	N	
London-North-Eastern	1251	LN101	Copenhagen Jn – Holloway South / North Jns	Y *	R1	R1	R1	R1	R1	R1	R1	R1 PROHIBITED on the Fast Lines
London-North-Eastern	1252	LN101	Holloway South / North Jns – Wood Green North Jn	Y *	Y	Y	Y	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9 R13 R14 R15 R16	R1 PROHIBITED on the Up Fast between Holloway South Jn and Wood Green South Jn R2 PROHIBITED on the Down Fast between Holloway South Jn and Wood Green South Jn R3 PROHIBITED across Ferme Park Flyover R4 PROHIBITED from Doncaster Up bay platform 2 R5 PROHIBITED from Doncaster Down bay platform 5, 6 and 7 R6 PROHIBITED from Bounds Green Depot R7 PROHIBITED from the Down Washer Carriage between Ferme Park and Wood Green South Jn R8 PROHIBITED between Holloway Jn North and Finsbury Park (North) Jn on the Down Slow R9 PROHIBITED between Holloway Jn South and Wood Green South Jn on the Up Fast R13 - PROHIBITED on Peterborough Eastfield South Down Arrival R14 - PROHIBITED on Peterborough Eastfield North Down Departure R15 - PROHIBITED Werrington Jn to Black Carr Jn R16 - PROHIBITED from Balby Tunnel on the Up Fast line and the Down Fast line
London-North-Eastern	1252	LN101	Wood Green North Jn – Langley Jn	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1252	LN101	Langley Jn – Peterborough	Y	Y	Y	Y	R1	R1	Y	Y	R1 PROHIBITED from Huntingdon Up bay platform 1
London-North-Eastern	1253	LN101	Peterborough – Doncaster, Marshgate Jn	R1	Y	Y	Y	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	R1 PNA wagons restricted to 40mph through Newark North Gate when operating in tare condition R2 PROHIBITED Werrington Jn to South Yorkshire Jn R3 PROHIBITED on the Up Platform Loop through Doncaster platform 1 R4 PROHIBITED from Doncaster Up bay platform 2 R5 PROHIBITED from Doncaster Down bay platform 5, 6 and 7 R6 PROHIBITED on the Down Platform Loop through Doncaster platform 8 R7 PROHIBITED from Doncaster West Yard R8 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Down Leeds Goods R9 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Down Leeds Slow R10 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Up Slow R11 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Thorne Slow R12 PROHIBITED Werrington Jn to Shaftholme Jn R13 PROHIBITED on Peterborough Eastfield South Down Arrival R14 PROHIBITED on Peterborough Eastfield North Down Departure
London-North-Eastern	1253	LN101	Doncaster, Marshgate Jn – Shaftholme Jn	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1253	LN101	Helpston Junction – Peterborough (Stamford Lines)	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1253	LN101	Decoy North Junction – Bridge Junction (Down Side Sidings)	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1253	LN101	Potteric Carr Junction – Bridge Junction (Up Side Sidings)	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1253	LN105	Moorgate – Finsbury Park Jn	N	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN110	Canonbury West Jn – Finsbury Park Jn	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1254	LN115	Copenhagen Jn – Camden Road Central Jn	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1254	LN120	Wood Green North Jn – Langley Jn via Hertford	Y *	Y	Y	Y	R1 R2 R3	R1 R2 R3	R1 R2 R3	R1 R2 R3	R1 PROHIBITED from Bounds Green Depot R2 PROHIBITED from Gordon Hill Up bay platform 1 R3 PROHIBITED from Hertford North Station Down bay platform 3
London-North-Eastern	1254	LN120	Langley Jn via Hertford – Stevenage platform 5 (End of line)	N	N	N	N	N	N	N	N	
London-North-Eastern	1254	LN125	Hitchin, Cambridge Jn – Cambridge	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1254	LN126	Hitchin North Jn – Hitchin East Jn	Y	Y	Y	Y	Y	Y	Y	Y	
