Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1039	NW1001	LEC2	Armitage Jn (MD101) (Sectional Appendix Boundary – Rugeley North Jn	119	20	124	39	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1039	NW1001	LEC2	Rugeley North Jn – Colwich Jn	124	39	127	05	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1039	NW1001	LEC2	Colwich Jn – Stafford Trent Valley Jn No.1	127	05	133	06	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1039	NW1001	LEC3	Stafford Trent Valley Jn No.1 – Change of ELR (Site of Former Stafford Uttoxeter line Jn No 5)	133	06	133	60	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	LEC4	Change of ELR (Site of Former Stafford Uttoxeter line Jn No 5) – Norton Bridge North Jn	133	60	139	00	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	LEC4	Norton Bridge North Jn – Basford Hall Jn	139	00	156	16	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	LEC4	Basford Hall Jn – Change of ELR (Basford Wood)	156	16	157	20	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	LEC5	Change of ELR (Basford Wood) – Crewe South Jn	157	20	157	60	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	LEC5	Crewe South Jn – Crewe North Jn	157	60	158	18	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	LEC5	Crewe North Jn – Change of ELR (Site of Former Grand Jn)	158	18	159	00	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ1	Change of ELR (Site of Former Grand Jn) – Hartford Jn	159	00	170	56	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ1	Hartford Jn – Change of ELR (Preston Brook Tunnel)	170	56	176	00	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ2	Change of ELR (Preston Brook Tunnel) – Acton Grange Jn	176	00	180	24	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ2	Acton Grange Jn – Warrington South Jn	180	24	181	76	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ3	Warrington South Jn – Winwick Jn	181	76	185	49	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ4	Winwick Jn – Golborne Jn	185	49	187	76	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ5	Golborne Jn – Wigan Station Jn	0	53	6	33	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ5	Wigan Station Jn – Farington Curve Jn	6	33	20	08	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ5	Farington Curve Jn – Preston Ribble Jn	20	08	21	13	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1002	RBS3	Route Boundary (MD301) (Penkridge Station) – Stafford Trent Valley Jn No.1	23	30	28	50	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1040	NW1003	HCM2	Buffer Stop (Silverdale Colliery End) – Madeley Chord Jn	3	27	7	36	–	N	N	N	N	N	N	N	Line Out of Use until 30 April 2016
London-North-Western-North	1040	NW1003	HCM3	Madeley Chord Jn – Madeley Jn	0	25	0	00	–	N	N	N	N	N	N	N	Line Out of Use until 30 April 2016
London-North-Western-North	1040	NW1003	HCM2	Madeley Chord Jn – End of line	7	36	8	14	–	N	N	N	N	N	N	N	Line Out of Use until 30 April 2016
London-North-Western-North	1040	NW1004	RRN2	Route Boundary (MD345) (Rugeley B Power Station Jn) – Rugeley North Jn	14	00	14	69	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	1040	NW1005	KCS1	Kidsgrove Jn – Crewe South Jn	0	00	8	27	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW1007	SYC	Route Boundary (GW735) (Nantwich) – Gresty Green	2	60	1	18	Y	Y	Y	N	N	N	N	N	
London-North-Western-North	1041	NW1007	SYC	Gresty Green – Crewe South Jn	1	18	0	00	Y *	Y	Y	Y	N	Y	N	N	
