ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
London-North-Western-South	0648	MD101	London Euston – West London Junction (Willesden)	Y *	R1	R1	R1	N	R1	N	N	R1 Applies only to traffic operating over the Slow lines between Camden Junction (to / from the Primrose Hill lines [MD145]) and West London Junction (Willesden).
London-North-Western-South	0648	MD101	West London Junction (Willesden) – Rugby Trent Valley Junction	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD101	Rugby Trent Valley Junction – Armitage Junction (Exclusive)	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD101	West London Junction (Willesden) – Sudbury Junction (Willesden Relief Lines)	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD101	Harlesden Junction – Sudbury Junction (Brent Reception & Departure Lines)	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD105	Hanslope Junction – Rugby via Northampton	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD120	Camden Junction – Willesden Suburban Junction (DC Lines)	R1*	N	N	N	N	N	N	N	R1 Only L.U.L trains may operate between Queens Park Jn and the NR/LUL boundary on the connecting lines to/from Queens Park LUL lines
London-North-Western-South	0648	MD120	Willesden Suburban Junction – Watford Junction (DC Lines)	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD130	Watford Junction – St Albans Abbey	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Harlesden Jn – Railnet Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD136	Railnet Jn – Willesden Carriage Shed South	Y	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Willesden Carriage Shed South – Connection with Yard line	Y	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Willesden Carriage Shed South – Connection with Yard line	Y	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Connection with Yard line – Wembley Central Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD137	Harlesden Jn – Railnet Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD137	Railnet Jn – Wembley Yard South Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0649	MD137	Wembley Yard South Jn – Wembley Central Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0649	MD140	Bletchley – Bedford St Johns (inclusive)	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0649	MD145	Camden Road West Junction – Camden Junction	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0649	MD150	Kensal Green Junction – Willesden Suburban Junction	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0649	MD155	Kensal Green Junction – Harlesden Junction	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0649	MD160	Willesden High Level Junction – Mitre Bridge Junction	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0649	MD166	Route Boundary (SO250) (North Pole Jn) – Mitre Bridge Jn	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0649	MD166	Mitre Bridge Jn – West London Jn (Willesden)	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0649	MD166	West London Jn (Willesden) – Wembley Central Jn (Willesden Relief lines)	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0649	MD167	Mitre Bridge Jn – West London Jn (Willesden)	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0649	MD167	West London Jn (Willesden) – Route Boundary (EA1360) (Acton Wells)	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0649	MD170	Acton Canal Wharf Junction – Willesden Junction	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0649	MD180	Rugby Trent Valley Junction – New Bilton	Y	N	N	N	N	N	N	N	R1
London-North-Western-South	0649	MD232	Hinckley (Exclusive) – Abbey Jn	Y	Y	N	N	N	Y	N	N	
London-North-Western-South	0649	MD233	Midland Yard Jn – Canal Farm Jn	Y	Y	Y	Y	N	Y	N	Y	
London-North-Western-South	0649	MD301	Rugby, Trent Valley Junction – Penkridge (Excl) via Stechford, Birmingham New Street and Dudley Port	Y *	Y	Y	R1	N	R2	N	N	R1 R2 R1 W9 prohibited between Stechford North Junction and Bushbury Junction via Birmingham New Street and Dudley Port R2 W10 prohibited between Stechford North Junction and Crane Street Junction (exclusive) via Birmingham New Street and Dudley Port
London-North-Western-South	0649	MD305	Birmingham New Street – Blackwell via Selly Oak	Y *	R1	R1	N	N	N	N	N	R1 W7 and W8 at 30 mph through Church Road Tunnel [43m 56ch - 43m 61ch]
London-North-Western-South	0649	MD310	Barnt Green Junction – Redditch	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0650	MD315	Stechford South Junction – Aston South Junction	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0650	MD320	Proof House Junction – Bushbury Junction via Bescot and Wednesfield Heath Tunnel (Grand Junction Line)	Y *	Y	Y	R1	N	R1	N	N	R1 W9 and W10 prohibited between Proof House Junction and Aston South Junction
London-North-Western-South	0650	MD325	Soho South Junction – Perry Barr North Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0650	MD330	Soho East Junction – Soho North Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0650	MD335	Perry Barr West Junction – Perry Barr South Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0650	MD340	Aston North Junction – Alrewas (Exclusive)	Y *	Y	Y	R1	R1	R1	R1	R1	R1 Prohibited Aston North Junction to Lichfield Trent Valley Jn
London-North-Western-South	0650	MD345	Bescot Junction – Ryecroft Junction	Y *	Y	Y	Y	N	Y	R1	N	R1 Prohibited Bescott Jn to Walsall Pleck Jn
London-North-Western-South	0650	MD345	Ryecroft Junction – Cannock	Y *	Y	Y	Y	n	Y	Y	N	
London-North-Western-South	0650	MD345	Cannock – Brereton Sidings [13m 25ch]	Y *	N	N	Y	n	Y	Y	N	
London-North-Western-South	0650	MD345	Brereton Sidings [13m 25ch] – Rugeley North Junction (Exclusive)	Y *	Y	Y	Y	n	Y	Y	N	
London-North-Western-South	0650	MD350	Anglesea Sidings – Lichfield City Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0650	MD355	Lichfield Trent Valley Junction – Lichfield Trent Valley (Chord Line)	Y	Y	Y	N	N	Y	Y	N	
London-North-Western-South	0650	MD360	Walsall, Pleck Junction – Darlaston Junction	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0650	MD365	Portobello Junction – Wolverhampton Crane Street Junction	Y	Y	Y	N	N	Y	N	N	
London-North-Western-South	0650	MD401	Heyford – Bordesley Junction via Dorridge	Y *	Y	Y	N	N	R1	N	N	R1 Prohibited from the Down & Up Hatton platform line (platform 3) at Hatton
London-North-Western-South	0650	MD405	Leamington Spa Junction – Coventry South Junction via Milverton Jn	Y	Y	Y	N	N	Y	N	N	
London-North-Western-South	0650	MD410	Coventry North Junction – Nuneaton South Junction via Bedworth	Y *	Y	Y	N	N	Y	N	N	
London-North-Western-South	0650	MD415	Hatton Station Junction – Stratford- upon-Avon via Bearley	Y *	Y	N	N	N	N	N	N	
London-North-Western-South	0650	MD420	Hatton North Junction – Hatton West Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0650	MD425	Tyseley South Junction – Bearley Junction via Shirley	Y *	Y	N	N	N	N	N	N	
London-North-Western-South	0651	MD430	Droitwich Spa – Stourbridge North Junction	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD435	Small Heath South Junction – Smethwick Junction via Birmingham Snow Hill	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0651	MD435	Smethwick Junction – Stourbridge North Junction	Y *	R1	R1	N	N	N	N	N	R1 W8 prohibited on the Down Line between Rowley Regis and Stourbridge North Junction. W7 15 mph on the Down Line and W7 W8 15 mph on the Up Line through Old Hill Tunnel. STNC to 30/12/2011
London-North-Western-South	0651	MD440	Galton Junction – Smethwick Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD445	Stourbridge Junction – Stourbridge Town	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0651	MD450	Stourbridge North Junction – Round Oak via Kingswinford Junction South	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD460	Fenny Compton Junction – Burton Dassett (MOD Kineton)	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD501	Tamworth (inclusive) – Water Orton East Junction	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0651	MD501	Water Orton East Junction – Landor Street Junction	Y *	Y	Y	Y	R1	Y	R1	R1	R1 Prohibited Water Orton West to Landor Street Jn
London-North-Western-South	0651	MD501	Landor Street Junction – Proof House Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD501	Duddeston Jn – Lawley Street FLT boundary	Y	Y	Y	Y	N	Y	N	N	
