ROUTE,PAGE,LINE OF ROUTE,LINE OF ROUTE / SECTOR DESCRIPTION,W6,W7,W8,W9,W9PLUS,W10,W10A,W12,NOTES
Scotland,1136,SC001,Gretna Jn – Law Jn (via Beattock),Y *,Y,Y,Y,N,Y,N,N,
Scotland,1136,SC001,Law Jn – Larkfield Jn,Y *,Y,Y,Y,N,Y,N,N,
Scotland,1136,SC001,Larkfield Jn – Eglinton Street,Y,Y,Y,N,N,N,N,N,
Scotland,1136,SC001,Eglinton Street – Glasgow Central,Y *,Y,N,N,N,N,N,N,
Scotland,1137,SC001,"Newton East Jn – Newton West Jn via South Connecting Line,Newton Station and North Connecting Line",Y,Y,Y,Y,N,Y,N,N,
Scotland,1137,SC003,Carstairs South Jn – Haymarket East Jn,Y,Y,Y,Y,R1,R1,R1,R1,R1 PROHIBITED Slateford Jn to Haymarket East Jn
Scotland,1137,SC005,Carstairs Station Jn – Carstairs East Jn,Y,Y,Y,Y,R1 R2 R3,R1 R2 R3,R1 R2 R3,R1 R2 R3,R1 PROHIBITED Carstairs platform 1 R2 PROHIBITED Carstairs platform 2 R3 PROHIBITED Carstairs Through Siding
Scotland,1137,SC007,Midcalder Jn – Holytown Jn,Y *,R1,S1,N,N,N,N,N,R1 W7 15mph on Up Line Br.59 Shotts Station [8m 38ch] S1 The following combinations are permitted: 2590 high x 2500 wide box on FSA/FTA KFA wagons. All lines 2590 high x 2550 wide box on FEA FSA/FTA KFA wagons All lines 2896 high x 2500 wide box on FLA wagons Down line ONLY 2896 high x 2500 wide box on FLA wagons Up line 15 mph at Br 59 Shotts Station [08m 38ch]
Scotland,1137,SC009,Lanark – Lanark Jn,Y *,N,N,N,N,N,N,N,
Scotland,1137,SC011,Law Jn – Uddingston Jn (via Holytown),Y *,Y,Y,Y,N,Y,N,N,
Scotland,1137,SC013,Wishaw Central Jn – Shieldmuir Jn,Y,Y,Y,Y,N,Y,N,N,
Scotland,1137,SC015,Mossend East Jn – Mossend North Jn (North Curve),Y,Y,Y,Y,N,Y,N,N,
Scotland,1138,SC017,Mossend East Jn – Mossend South Jn (East Curve),Y,Y,Y,Y,N,Y,N,N,
Scotland,1138,SC019,Mossend South Jn – Mossend West Jn (West Curve),Y,Y,Y,Y,N,Y,N,N,
Scotland,1138,SC021,Coltness – Garriongill Jn,Y,N,N,N,N,N,N,N,
Scotland,1138,SC023,"Motherwell – Newton, Hamilton Jn (via Hamilton)",Y *,Y,Y,N,N,N,N,N,
Scotland,1138,SC024,Larkhall – Haughhead Jn,Y,N,N,N,N,N,N,N,
Scotland,1138,SC025,Rutherglen Central Jn – Finnieston incl. Bridgeton Yard (via Arrival Line) (Goods Line),Y *,R1,N,N,N,N,N,N,R1 W7 traffic prohibited from using Bridgeton Yard Arrival Line
Scotland,1138,SC027,Rutherglen West Jn – Rutherglen North Jn (West Curve),Y,N,N,N,N,N,N,N,
Scotland,1138,SC029,Larkfield Jn – Shields Jn Incl. Shields Jn – Terminus Jn (Up Through Terminus),Y,Y,Y,Y,N,N,N,N,
Scotland,1138,SC031,Gretna Jn – Dumfries,Y *,Y,Y,N,N,N,N,N,
Scotland,1138,SC031,Dumfries to Kilmarnock GB&K Jn,Y *,Y,Y,R1,N,N,N,N,R1 W9 prohibited EXCEPT to traffic working from / to SC039 Kilmarnock to Barrasie Line using Kilmarnock Platform 3 Line between 33m 47ch and 33m 78ch ONLY.
Scotland,1138,SC031,Kilmarnock GB&K Jn to Eglinton Street Jn,Y *,Y,N,N,N,N,N,N,
Scotland,1138,SC033,Dumfries to Maxwelltown (Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1138,SC035,Bank Jn – Greenburn Jn (Goods Line),Y,N,N,N,N,N,N,N,
Scotland,1138,SC035,Greenburn Jn – Knockshinnoch (Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1138,SC036,Greenburn Jn – Greenburn Open Cast (Goods Line),Y,N,N,N,N,N,N,N,
