ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
Western	0817	GW103	Paddington – Royal Oak Sidings	Y *	N	N	N	N	N	N	N	
Western	0818	GW103	Royal Oak Sidings – Reading New Jn	Y *	Y	Y	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15	R1 Prohibited Royal Oak Sidings to Acton East Jn R2 PROHIBITED between Acton East Jn and Acton West Jn on the Up Main R3 PROHIBITED between Acton East Jn and Acton West Jn on the Down Main R4 PROHIBITED West Ealing (Up Goods Loops and Yard) R5 PROHIBITED Hanwell Bridge sidings R6 PROHIBITED Southall West Down Loop, Southall Sidings, Brentford sidings. R7 PROHIBITED Hayes Up sidings R8 PROHIBITED Hayes & Harlington Up bay platform 5 R9 PROHIBITED West Drayton Up sidings R10 PROHIBITED West Drayton platform 5 (West Drayton Loop) R11 PROHIBITED Langley East Up sidings R12 PROHIBITED Langley Platform 4 (Up Relief) R13 PROHIBITED Slough Up sidings R14 PROHIBITED Burnham Platform 2 (Up Relief) R15 PROHIBITED Burnham Platform 1 (Down Relief)
Western	0819	GW103	Reading New Jn – Didcot, Chester Line Jn	Y *	Y	Y	R1	R1	Y	R1	R1	R1 Prohibited Didcot East Jn to Didcot Chester Line Jn
Western	0819	GW103	Didcot, Chester Line Jn – Uffington	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2438(w) on IFA FRA wagons 2591(h) x 2500(w) on FCA/FYA wagons 2616(h) x 2550(w) on KFA wagons 2667(h) x 2550(w) on FIA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2705(h) x 2550(w) on FKA wagons 2896(h) x 2500(w) on FAA FLA IDA wagons
Western	0819	GW103	Reading Southern Jn – Reading East Main Jn (RLL)	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0819	GW105	Uffington – Thingley Jn	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2438(w) on IFA FRA wagons 2591(h) x 2500(w) on FCA/FYA wagons 2616(h) x 2550(w) on KFA wagons 2667(h) x 2550(w) on FIA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2705(h) x 2550(w) on FKA wagons 2896(h) x 2500(w) on FAA FLA IDA wagons
Western	0820	GW105	Thingley Jn – North Somerset Jn	Y	Y	S	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) box on FEA KFA FRA FSA/FTA IFA wagons 20mph Down Line Br. MLN1 [101m 75ch]
Western	0820	GW105	North Somerset Jn – Fordgate [154m 12ch]	Y *	Y	Y	N	N	N	N	N	
Western	0820	GW105	Highworth Jn – Rover Works	Y	N	N	N	N	N	N	N	
Western	0820	GW107	Worle Jn – Uphill Jn via Weston- Super -Mare	Y	Y	Y	N	N	N	N	N	
